text
Aa ɛdan ne mu
Adan atsentsen nso wɔ
Adan atsentsen so wɔ
Adan atwa hɔ nyinaa
Adan bebree atwa wɔn
Adan bebree na ɛwɔ
Adan bebree ne kwan
Adan bebree no nso
Adan bebree nso nsuo
Adan bebree nso sisi
Adan bebree nso wɔ
Adan bebree nso ɛsisi
Adan bebree so sisi
Adan bebree wɔ ha
Adan bebree wɔ hɔ
Adan bebree wɔ hɔnom
Adan bebree ɛwɔ ha
Adan bi nso sisi
Adan bi nso wɔhɔ
Adan bi si wɔn
Adan foforɔ nso sisi
Adan fɛfɛɛfɛ so wɔ
Adan fɛɛfɛw nso wɔ
Adan kɛseɛ bi nso
Adan mmienu baako ɛyɛ
Adan na nso sisi
Adan ne abrɔsan nso
Adan ne bi yɛ
Adan ne nnua bi
Adan ne nnua wɔ
Adan no ahosuo bi
Adan no bi nso
Adan no bi si
Adan no bi yɛ
Adan no mu bi
Adan no nso gu
Adan no nso ntokura
Adan no nyinaa wɔ
Adan no tokuro wom
Adan no yɛ aborosan
Adan no yɛ atenten
Adan no yɛ fitaa
Adan no yɛ fɛw
Adan no ɛyɛ kuro
Adan nso atwa wɔn
Adan nso bi ɛtoatoa
Adan nso esisi hɔ
Adan nso si hɔ
Adan nso si nnua
Adan nso si wɔn
Adan nso sisi beebi
Adan nso sisi hɔ
Adan nso sisi wɔn
Adan nso so atwa
Adan nso wowɔ ha
Adan nso wɔ nekyir
Adan pii nso atwa
Adan pii nso sisi
Adan pii nso wɔ
Adan pii sisi hɔ
Adan si wɔn benkum
Adan si wɔn ho
Adan sisi nkyɛn ne
Adan sisi wɔn akyi
Adan wɔ kwan no
Adan wɔ wɔn akyi
Adan wɔ wɔn nkyɛn
Adan wɔwɔ wɔn nkyɛn
Adan yi bi yɛ
Adansi ho adwuma ɛna
Adansi ho adwuma ɛrekɔ
Adansifoɔ bi reyɛ adwuma
Adansifoɔ bi ɛɛyɛ adwuma
Adansifoɔ binom reyɛ adwuma
Adansifoɔ no mu hyɛ
Adansifoɔ wɔ asase bi
Adatefo nyinaa hyɛ ade
Addo na ɔrekyeakyea nnipa
Ade bi nso si
Ade bi sɛ fam
Ade da ne kɔn
Ade fitaa bi nso
Ade fitaa bi so
Ade fitaa bi sɛ
Ade fitaa bɔ ne
Ade fofuo bi nso
Ade fufuo bɔ wɔn
Ade fufuo hyehyɛ wɔn
Ade hyɛ baako nsa
Ade kɔkɔɔ bi da
Ade kɔkɔɔ bi nso
Ade kɔkɔɔ ne fitaa
Ade nso hyɛ baako
Ade nso kura ne
Ade sɛn ne kɔn
Ade tuntum bi nso
Ade yellow da wɔn
Adefufuo bi wɔ wɔn
Adekoradeɛ esisi wɔn enim
Adepam afidie bi nso
Adepamfoɔ bi ɛwɔ sukuu
Adepamni bi tena ne
Adesuafo aa wɔhyɛ wɔn
Adesuafo bi wɔtena fam
Adesuafo mmɔframma wɔ sukuu
Adesuafo no bi nso
Adesuafo no nso rehwɛ
Adesuafo no nyinaa tete
Adesuafoɔ bi ne wɔn
Adesuafoɔ bi ɛwɔ sukuu
Adesuafoɔ ketoa tete adesua
Adesuafoɔ mmienu nso gyina
Adesuafoɔ no bi gyina
Adesuafoɔ no nyinaa wɔkita
Adesuafoɔ yi de wɔn
Adetɔnfo asi wɔn kyiniiɛ
Adetɔnfoɔ asi wɔn kyinniiɛ
Adetɔnfoɔ ne bɛtɔadeɛfoɔ bi
Adetɔnfoɔ no mu bi
Adetɔnfoɔ no tɔn nneɛma
Adetɔnfoɔ nso te kwan
Adetɔnneɛ no bi yɛ
Adeɛ bi ayɛ sɛ
Adeɛ bi bɔ hɔ
Adeɛ bi bɔ ne
Adeɛ bi bɔ soro
Adeɛ bi gu wɔn
Adeɛ bi hyehyɛ wɔn
Adeɛ bi sɛ fam
Adeɛ bi sɛn ne
Adeɛ bi sɛn soro
Adeɛ blue da ne
Adeɛ bobɔ wɔn akyi
Adeɛ bobɔ wɔn baasa
Adeɛ deda wɔn nsa
Adeɛ efundaka no esi
Adeɛ fitaa bi nso
Adeɛ griin ɛbɔ wɔn
Adeɛ hyɛ ne nsa
Adeɛ hyɛ wɔn ti
Adeɛ katakata wɔn ano
Adeɛ katakata wɔn hwene
Adeɛ kɔkɔɔ bi nso
Adeɛ no ahosuo bi
Adeɛ no ho ahosuo
Adeɛ no yɛ fitaa
Adeɛ no yɛ tratra
Adeɛ nso da ne
Adeɛ si wɔn anim
Adeɛ sisi wɔn anim
Adeɛ sɛn ɔbaa ne
Adidipono baako nso wɔ
Adidipono no nso yɛ
Adidipono nso wɔ hɔ
Adinkra ahyɛnsodeɛ nso sensɛn
Adn bi nso gugu
Adoe ahodoɔ atwa ne
Adoe baako nso gyina
Adokotafoɔ no ahyehyɛ wɔn
Adua bi nso hyɛ
Adua bi si wɔn
Adua esisi wɔn akyi
Adua green so wɔ
Adua kɛseɛ bi nso
Adua si wɔn akyi
Aduaba ahoroɔ bebree nso
Aduaba bebiree atwa ne
Aduaba ne atosodeɛ bebree
Aduaba ne bi ne
Aduaba ne bi nso
Aduaba ne bi yɛ
Aduaba no bi ne
Aduaba no dɔɔso wɔ
Aduan ne nyinaa wɔ
Aduan no yɛ ɔmo
Aduane ahodoɔ bebree wɔ
Aduane ahodoɔ na wɔn
Aduane ahodoɔ nso sisi
Aduane bi te sɛ
Aduane no bi abene
Aduane no bi ayɛ
Aduane no bi mo
Aduane no bi si
Aduane no bi te
Aduane no bi wɔ
Aduane no nso si
Aduane no nyinaa gu
Aduane no yɛ banku
Aduane no yɛ borɔdeɛ
Aduane no yɛ waakye
Aduane no yɛ ɛmo
Aduane no ɛyɛ akɔnnɔ
Aduane no ɛyɛ waakye
Aduane nso gugu so
Aduane nso sisi didipono
Aduane si wɔn anim
Aduane si wɔn mmienu
Aduane sisi wɔn anim
Aduane sisi wɔn nkyɛn
Aduane wɔ kyɛnse mu
Aduapea no ayɛ sɛ
Aduku tuntum ne ahweneɛ
Adumgya adwumayɛfoɔ no nso
Adwa Adwadifoɔ pii wɔ
Adwadifoɔ ahyehyɛ wɔn nnoɔma
Adwadifoɔ bebere ahyia wɔ
Adwadifoɔ bebree nso nam
Adwadifoɔ bi retɔn nneɛma
Adwadifoɔ no bi nso
Adwadifoɔ no tɔn wɔn
Adwadifoɔ nso retɔn adeɛ
Adwadifoɔ pii wɔ gua
Adwene nso gu apampaa
Adwontofoɔ bi ɛhyia wɔ
Adwuma yi yɛ beaeɛ
Adwumafoɔ yi mu mmienu
Adwumayɛfo bebree wɔ hɔ
Adwumayɛfo bi ahyiam ɛwɔ
Adwumayɛfo bi ɛwɔ beaeɛ
Adwumayɛfo no nso gyina
Adwumayɛfo no waafa wɔn
Adwumayɛfoɔ agyinabea wɔn ɛyɛ
Adwumayɛfoɔ bebree bi gyina
Adwumayɛfoɔ bi ahyia wɔ
Adwumayɛfoɔ bi ahyiam wɔ
Adwumayɛfoɔ bi de abɛɛfo
Adwumayɛfoɔ bi gyina baabi
Adwumayɛfoɔ bi gyina hɔ
Adwumayɛfoɔ bi ne bi
Adwumayɛfoɔ bi nso wɔ
Adwumayɛfoɔ bi reeyɛ adwuma
Adwumayɛfoɔ bi reyɛ adwuma
Adwumayɛfoɔ bi wɔ baabi
Adwumayɛfoɔ bi wɔ dan
Adwumayɛfoɔ bi wɔ ha
Adwumayɛfoɔ bi wɔ wɔn
Adwumayɛfoɔ bi ɛhyia wɔ
Adwumayɛfoɔ binom nso gyina
Adwumayɛfoɔ mmaa ne mmarima
Adwumayɛfoɔ mmienu reyɛ adwuma
Adwumayɛfoɔ ne bi tse
Adwumayɛfoɔ no bi abɔ
Adwumayɛfoɔ no bi hyehyɛ
Adwumayɛfoɔ no bi nso
Adwumayɛfoɔ no bi yɛ
Adwumayɛfoɔ no bi ɛnenam
Adwumayɛfoɔ no bi ɛte
Adwumayɛfoɔ no mu bi
Adwumayɛfoɔ no mu mmienu
Adwumayɛfoɔ no reyɛ wɔn
Adwumayɛfoɔ tete atɛkyɛ mu
Adwumayɛfoɔ wɔ asase no
Adwumayɛfoɔ wɔ hyia mu
Adwumayɛfoɔ yi bi hyɛ
Adwumayɛfoɔ yi bi reyɛ
Adwumayɛfoɔ yi bi yɛ
Adwumayɛfoɔ yi nyinaa hyɛ
Adwumayɛfoɔ ɔyɛ adwuma ɛwɔ
Adwumayɛni baako bi nso
Adwumayɛni baako nso gyina
Adɔfo mmienu bi te
Adɔfoɔ bi ahyiam wɔ
Adɔfoɔ bi nso wɔ
Adɔkotafo no yɛ enum
Adɔkotafo nyinaa ahyɛ ataare
Adɔkotafoɔ bebree wɔ hɔnom
Adɔkotafoɔ no nso hyɛ
Adɔkotafoɔ no nyinaa de
Adɔktɛsfoɔ mmienu gyina wɔn
Adɔkɔdɔkɔdeɛ da baako so
Adɔkɔdɔkɔdeɛ ne aduaba bebree
Adɛtefo bebree wɔ asopiti
Aeroplane esi wɔn nkyɛn
Aeroplane no yɛ fitaa
Af afe bi kita
Afa baako no ɛyɛ
Afadan no yɛ mmaako
Afadeɛ ne bi ne
Afadeɛ no yɛ kɔlɛs
Afahyɛ bi rekɔ so
Afahyɛ rekɔ so wɔ
Afarefo no yɛ bɛyɛ
Afarefoɔ tete wɔn boat
Afasuo bi etwa wɔn
Afasuo kɛse bi wɔ
Afasuo no akyi no
Afei abatofoɔ adwumayɛfoɔ no
Afei abofra koro tena
Afei agyinamoa nso da
Afei ahɛn no bi
Afei dankora nketewa nso
Afei hɔ nifa no
Afei maame no hyɛ
Afei na ebi nso
Afei nano ayɛ serew
Afei nhyerɛn ne si
Afei nnipa bi te
Afei no so aa
Afei nso abɛɛfo tɛtɛfoon
Afei nso asono pii
Afei nso mehunu mako
Afei nso mmarima no
Afei nso nhwiren piii
Afei nso nneɛma bi
Afei nso nnipa atwa
Afei nso nwura wɔn
Afei nso wɔde afuom
Afei nso wɔn nakyi
Afei nso ɔbɔ wɔkye
Afei nso ɔde asaawa
Afei nso ɔkita kɛntɛn
Afei so wɔhyehyɛ adeɛ
Afei wɔde nwenneɛ agu
Afei wɔhyehyɛ ntaade mfitamfitaa
Afei wɔn mo nyinaa
Afei yi mpanyimfo yi
Afei ɛhyɛn ebien nso
Afiasefoɔ mmienu ɛreyɛ wɔn
Afiasefoɔ no bi repra
Afidie badwemma no yɛ
Afidie badwemma si wɔn
Afidie kɛseɛ nso wɔ
Afidie ne afidie no
Afidie no ahyɛnsodeɛ bi
Afidie no ho no
Afidie no nneɛma bebree
Afidie no sini mu
Afidie no yɛ afidie
Afidie no yɛ tuntum
Afidie no ɛyɛ fitaa
Afidie nso adane abutu
Afidie nyansafoɔ sisi wɔn
Afidie si wɔn nkyɛn
Afidie tetafoɔ bi nso
Afidie wɔde tu fam
Afidie yi yɛ afidie
Afidihyɛn bi si wɔn
Afie mmienu bi nso
Afie wɔ wɔn akyi
Afifidie bi nso si
Afipɔnkɔ sa so wɔ
Afiri kɛse pa ara
Afiri no bi ahosuo
Afiri no bi nso
Afiri no nnipa tete
Afoforɔ nso binom tete
Afoforɔ nso gyina hɔ
Afoforɔ nso gyina nkyɛn
Afoforɔ nso tare hoo
Afoforɔ so gyina hɔ
Afra mmɔframma no bi
Afra no hyɛ kɔkɔɔ
Afrankaa mmeɛnsa si wɔn
Afrekafoɔ ntaadeɛ no bi
Afrikan priint no yɛ
Afunpɔnkɔ ne bi so
Afunu adaka nso si
Afunumupɔnkɔ bi nenam asase
Afunupɔnkɔ no bi nso
Afuo kakra bi so
Afuo nso wɔ bea
Afuw nso afuw wɔn
Afuw nso atwa dan
Afuw nso atwa wɔn
Afuw so wɔ wɔn
Agodeɛ yi ɛyɛ keteke
Agodi no ho ade
Agodibea no nso yɛ
Agodie adeɛ ɔde redi
Agofoman nso wɔ wɔn
Agofomba bebree na ahyia
Agofomma mmarima ne mmaa
Agokansie bi ɛrekɔ so
Agokansie rekɔ so wɔ
Agoprama no so no
Agoprama no so nyinaa
Agoprama no yɛ agoprama
Agoprama no yɛ beaeɛ
Agoprama no ɛso nni
Agoprama wɔ ball wɔ
Agopramaso nyinaa yɛ ahabanmono
Agorɔ wɔdi no ɛyɛ
Agua no so asia
Agua nso si hɔ
Agua wɔ dan mu
Agudeɛ gu wɔn nyinaa
Agudeɛ no bi nso
Agudeɛ nso deda wɔn
Agudeɛ nso gu ne
Agudeɛ yi gu wɔn
Agudie nneɛma no bi
Agya atɔ dan bi
Agya nkyɛn wɔ mpa
Agya no adum deɛ
Agya no te akonnwa
Agya nso wɔ ɛdan
Agya wɔ dan no
Agyananbea anaa sɛ beaeɛ
Agyananbea bi si wɔn
Agyananbea bowl yi nso
Agyananbea nso wɔ adwareeɛ
Agyewia si wɔn so
Agyinammoa tuntum nso da
Agyinamoa no yɛ tuntum
Agyinamoa wɔ dan mu
Aha nom ɛyɛ fangoo
Aha nso so yɛ
Aha nso yɛ baabi
Aha nso yɛ beaeɛ
Aha nso yɛ mpɔtamu
Aha nso yɛ ɔmanpanin
Aha nso ɔyɛ akwanhyia
Aha nsoso ɛyɛ Ghana
Aha so yɛ bea
Aha sɛ dwam anaasɛ
Aha yɛ adan bebree
Aha yɛ dan mu
Aha yɛ dɛn mu
Aha yɛ kwan ho
Aha yɛ moka ase
Aha yɛ mpo ano
Aha yɛ siniyibea anaa
Aha yɛ table so
Aha yɛ ɛpo ano
Aha ɛyɛ nwura mu
Aha ɛyɛ ɛdan bi
Aha ɛyɛ ɛfuom kwan
Ahabammono nwura nso afu
Ahaban ahabanmono nso wɔ
Ahaban bi ɛwɔ ɔdan
Ahaban mono ne nnua
Ahaban mono nso wom
Ahaban mono nso wɔ
Ahaban mono wɔ fam
Ahaban no wɔnam mu
Ahaban wɔ nnua no
Ahaban wɔ no akyir
Ahabanmon kita obi ne
Ahabanmono atwa wɔn ho
Ahabanmono nso wɔ nakyi
Ahabanmono wɔ dɔm bebree
Ahabanmono ɛwɔ wɔn nkyɛn
Ahabawuiɛ ne ahabanmono nso
Ahahan ne yɛ ahahanmono
Ahahan nso sensɛn hɔ
Ahama bebree ɛwɔ hɔ
Ahemfie nnipa bi nso
Ahemfo atwa ne ho
Ahemfo bebree ne namamfoɔ
Ahemfo kyiimmii bebree nso
Ahemfo ne nua tena
Ahemfo no gyina apata
Ahemfo no tete kyiniiɛ
Ahemfo nso abɔ dwa
Ahen no bi yɛ
Ahenfo bi nso egyina
Ahenfo bi nso tete
Ahenfo mmienu ɛbe wɔn
Ahenfo nso abɔ dwa
Ahenfo nyinaa tena hɔ
Ahenfo yi ne amanfoɔ
Ahenfofoɔ no bi firafira
Ahenneɛ gugu ne nsa
Ahobammɔ adwumayɛfoɔ no bi
Ahobammɔfoɔ mu mmienu asɔ
Ahobanfoɔ nso gyina hɔ
Ahofasuo no bi yɛ
Ahoma bi nso sɛn
Ahoma bi sɛn hɔ
Ahoma bi wɔ hɔnom
Ahoma deda fam hɔ
Ahoma fufuw bi nso
Ahoma no hyehyɛ wɔn
Ahoma no yɛ bibree
Ahoma so aboa no
Ahoma sɛn ne tiri
Ahoma yi so funu
Ahomatorofoɔ nso da adeɛ
Ahomatorɔfoɔ da wɔn anim
Ahwedeɛ ne nneɛma gugu
Ahwedeɛ nso egu fie
Ahwehwɛ bi nso si
Ahwehwɛ bɔ ban ho
Ahwehwɛ fam ban ho
Ahwehwɛ hyɛ dan no
Ahwehwɛ kakraka bi nso
Ahwehwɛ nnienu na ɛwɔ
Ahwehwɛ no bɔ dan
Ahwehwɛ nso bobɔ hɔ
Ahwehwɛ nso bɔ hɔ
Ahwehwɛ nso bɔ ɛdan
Ahwehwɛ nso wɔ dan
Ahwehwɛ nso wɔ hɔ
Ahwehwɛ nso wɔ mpa
Ahwehwɛ nso ɛbɔ ɛdan
Ahwehwɛ si wɔn anim
Ahwehwɛ wɔ dan mu
Ahwehwɛ wɔ wɔn akyir
Ahwehwɛ ɛbɔ dan ho
Ahwehwɛ ɛwɔ ɔdan ne
Ahwehwɛniwa bi nso ka
Ahwehwɛniwa da wɔn anim
Ahwehɛ nso wɔ hɔ
Ahwene gugu wɔn nsa
Ahweneɛ ahodoɔ gugu wɔn
Ahweneɛ bi nso da
Ahweneɛ bobɔ wɔn kotodwe
Ahweneɛ deda binom nso
Ahweneɛ deda wɔn koom
Ahweneɛ deda wɔn kɔn
Ahweneɛ gu wɔn kɔn
Ahweneɛ gu wɔn nsa
Ahweneɛ gugu ne nsa
Ahweneɛ no bi nso
Ahweniɛ nso wɔ sotɔɔ
Ahwenneɛ deda wɔn kɔn
Ahwenneɛ deda wɔn nyinaa
Ahwenneɛ gu wɔn kɔn
Ahwenneɛ gu wɔn nyinaa
Ahwenneɛ gugu wɔn nsa
Ahwenneɛ no bi yɛ
Ahwenneɛ no yɛ tumtum
Ahwhehwɛ nso wɔ hɔ
Ahwihwɛ wɔ wɔn ekyi
Ahywn no asɛesɛe koraa
Ahyɛn ahodoɔ bebree nso
Ahyɛn ahodoɔ nso sisi
Ahyɛn ahorow nso ɛwɔ
Ahyɛn akɛseɛ ne afidie
Ahyɛn bebree na anya
Ahyɛn bebree nam kwan
Ahyɛn bebree wɔ kwan
Ahyɛn bebree wɔ kɔnstrakhyin
Ahyɛn bi ahyensode ɛyɛ
Ahyɛn bi nso nenam
Ahyɛn bi nso sisi
Ahyɛn bi nso wɔ
Ahyɛn bi te sɛ
Ahyɛn ebaasa nso retwan
Ahyɛn mmienu anya akwanhyia
Ahyɛn mmienu apim wɔn
Ahyɛn mmienu bi anya
Ahyɛn mmienu bi nso
Ahyɛn mmienu de wɔn
Ahyɛn mmienu gyina hɔ
Ahyɛn mmienu nso si
Ahyɛn mmienu sisi wɔn
Ahyɛn mmienu so asisi
Ahyɛn mmiɛnsa nso si
Ahyɛn ne akwan so
Ahyɛn ne nnipadɔm bebree
Ahyɛn nenam wɔn nkyɛn
Ahyɛn nnan yi nyinaa
Ahyɛn no anya akwanhyia
Ahyɛn no bi ahosuo
Ahyɛn no bi amoamoa
Ahyɛn no bi asɛesɛe
Ahyɛn no bi atutu
Ahyɛn no bi nso
Ahyɛn no bi yɛ
Ahyɛn no mu bebree
Ahyɛn no nso dɔɔso
Ahyɛn no nyinaa ahosuo
Ahyɛn no nyinaa asɛesɛe
Ahyɛn nso esisi lɔri
Ahyɛn nso sisi hɔ
Ahyɛn nso sisi kwan
Ahyɛn nso so sisi
Ahyɛn pii nso nam
Ahyɛn tuntum bi wɔ
Ahyɛn yi mu bi
Ahyɛnsode wɔ wɔn nkyɛn
Ahyɛnsodeɛ kiosk wɔ wɔn
Ahyɛnsodeɛ no bi yɛ
Ahɔhoɔ no gyina hɔ
Ahɛn ahorow nso nam
Ahɛn ahorow nso wɔrefa
Ahɛn ahorow so beberee
Ahɛn ahorow so nam
Ahɛn asɔto nso sisi
Ahɛn no bi yɛ
Ahɛn no ne nkanea
Ahɛn no ɛkor yɛ
Aidipono no so no
Air nso bɔ dan
Air si wɔn akyi
Air ɛna flowres nso
Akanman ne mu ama
Akansie bi rekɔ so
Akansie rekɔ so wɔ
Akasa fidie nso esi
Akasafoni kɛseɛ nso bɔ
Akasakasa ne mentemehoase bi
Akasamfonin bɔ wɔn akyi
Akasamu aseɛ ne yɛ
Akasamu bebree atwa ne
Akasamu bebree wɔ nenyim
Akasamu egu pon so
Akasamu ne twerɛdua da
Akasamu sisi wɔn anim
Akasamu wɔ wɔn anim
Aketeesia bi aka ne
Aketeesia ne nkwadaa bi
Aketeesia no da hɔ
Aketeesia no hyɛ atar
Aketeesia no reyɛ biribi
Aketeesia no tena ho
Aketeke no ahyɛnsodeɛ yɛ
Aketesia kor wɔ wɔn
Aketesia no de koraa
Aketesia no gye ahoma
Aketesia yi kita afe
Aketewea kɛse ekata wɔn
Ako nso butu hɔ
Ako pɛ baabi ɛde
Akodoɔ bebree nso sisi
Akodoɔ mmienu sisi so
Akokora no hyɛ kyɛ
Akokɔ ne apɔnkye nso
Akokɔ ne yɛ tuntum
Akokɔ no deɛ ɔka
Akokɔ nso gyina hɔ
Akokɔ nso wɔ honom
Akokɔsrade kyiniiɛ bi nso
Akonnwa ahodoɔ atwa wɔn
Akonnwa ahodoɔ nso wɔ
Akonnwa atwa ho ahyia
Akonnwa baako si wɔn
Akonnwa bi nso si
Akonnwa bi nso so
Akonnwa bi nso wɔ
Akonnwa bi si wɔn
Akonnwa ketewa baako nso
Akonnwa mmeɛnsa na ɛwɔ
Akonnwa mmienu ɛwɔ hɔ
Akonnwa no ahosuo yɛ
Akonnwa no baako nso
Akonnwa no bi ahosuo
Akonnwa no so no
Akonnwa no yɛ ahaban
Akonnwa no yɛ brownish
Akonnwa no yɛ fitaa
Akonnwa no yɛ mmienu
Akonnwa no yɛ tuntum
Akonnwa nso si ne
Akonnwa nso sisi hɔ
Akonnwa nso wɔ hɔ
Akonnwa nso wɔ nakyi
Akonnwa si wɔn nkyɛn
Akonnwa tuntum baako nso
Akonnwa tuntum bi nso
Akonwa abibire bi nso
Akonwa ahodoɔ mmienu nso
Akonwa bi nso esi
Akonwa bi nso si
Akonwa esi ho nhwiren
Akonwa nso si hɔ
Akonya fitaa ɛwɔ hɔ
Akoraa no hyɛ ataade
Akorɔ nso esisi ɛpo
Akra bi so gyina
Akrɔnfo tena wɔn afupɔnkɔ
Akuafoɔ gyinagyina wɔn afuom
Akuafoɔ mmieɛnsa agyinagyina wɔn
Akuafoɔ yi nyinaa ahye
Akuraa bi ase mma
Akutu no yɛ ahaban
Akutuo sisi wɔn apampam
Akwaada no butu hɔ
Akwadaa aterɛ ne nsa
Akwadaa baako ama ne
Akwadaa baako anwii ne
Akwadaa baako apagya ne
Akwadaa baako asɔ ne
Akwadaa baako bi nso
Akwadaa baako de adeɛ
Akwadaa baako de ne
Akwadaa baako drɔs ɛyɛ
Akwadaa baako gyina ne
Akwadaa baako gyina wɔn
Akwadaa baako kura ne
Akwadaa baako nsa nso
Akwadaa baako nso gyina
Akwadaa baako nso hyɛ
Akwadaa baako nso kita
Akwadaa baako nso kura
Akwadaa baako nso rehwɛ
Akwadaa baako nso so
Akwadaa baako nso te
Akwadaa baako rekyrɛ ne
Akwadaa baako te fam
Akwadaa baako te wɔn
Akwadaa bi da fam
Akwadaa bi da ne
Akwadaa bi de aduane
Akwadaa bi de brodo
Akwadaa bi gyina hɔ
Akwadaa bi ka wɔn
Akwadaa bi nso gyina
Akwadaa bi nso ka
Akwadaa bi nso kita
Akwadaa bi nso kura
Akwadaa bi nso ɛnam
Akwadaa da ne so
Akwadaa hyɛ baako akyi
Akwadaa hyɛ wɔn mfimfini
Akwadaa hyɛ ɔbaako akyi
Akwadaa ketewa bi gyina
Akwadaa ketewa bi hyɛ
Akwadaa ketewa bi nso
Akwadaa ketewa yi ɛde
Akwadaa ne papa bi
Akwadaa no ani agye
Akwadaa no baako nso
Akwadaa no bi bɔ
Akwadaa no bi de
Akwadaa no da ne
Akwadaa no de ne
Akwadaa no de remiamia
Akwadaa no gyina hɔ
Akwadaa no hyɛ ataade
Akwadaa no hyɛ ataadeɛ
Akwadaa no hyɛ atadeɛ
Akwadaa no hyɛ top
Akwadaa no hyɛ ɛkyɛ
Akwadaa no kita ade
Akwadaa no maame no
Akwadaa no ne toys
Akwadaa no nsa da
Akwadaa no nso de
Akwadaa no rema ne
Akwadaa no te maame
Akwadaa no ti yɛ
Akwadaa nsa ne barima
Akwalaa no de adeɛ
Akwalaa yi koto fam
Akwan ne mmienu mfimfini
Akwan nso deda mu
Akwanhyia asi ama nnipa
Akwanhyia asi ma nnipa
Akwanhyia asi wɔ kwan
Akwanhyia bi ɛsi wɔ
Akwanhyia esi ma nnipa
Akwanhyia ne siiɛ no
Akwantu fo no gyina
Akwantufo bebiri kuta wɔn
Akwantufo bi gyina hɔ
Akwantufo ne bi yɛ
Akwantufo no bi de
Akwantufo no bi hyɛ
Akwantufo wɔn bags sisi
Akwantufoɔ bebree kita wɔn
Akwantufoɔ bebree na wɔato
Akwantufoɔ bebree nam kwan
Akwantufoɔ bebree ɛtwahyia wɔ
Akwantufoɔ mmaa ne mmarima
Akwantufoɔ mmarima ne mmaa
Akwantufoɔ nnan nso gyina
Akwantufoɔ no bi kutakuta
Akwantufoɔ no retu kwan
Akwantufoɔ no yɛ mmaa
Akwantufoɔ wɔn kura wɔn
Akwantufoɔ yi nyinaa kita
Akwanyifoɔ bi reyɛ adwuma
Akwaraa baako gyina wɔn
Akwaraa baako nso kura
Akwaraa baako wɔ wɔn
Akwaraa baayewa no hyɛ
Akwaraa beebi nso hyɛ
Akwaraa bi te baabi
Akwaraa no ani agye
Akwaraa no de aduane
Akwaraa no reyi ade
Akwaraaa no atene ne
Akwenhyia bi esi wɔ
Akyen no nso yɛ
Akyen nso yɛ ason
Akyerwee nso wɔ akyerɛwpon
Akyerɛwdua nso da pon
Akyi hɔnom no ayɛ
Akyi nso ahabanmono wɔhɔ
Akyiniiɛ ahodoɔ nso sisi
Akyinniiɛ bebiree nso wɔ
Akyire no yɛ fitaa
Akyire nohwaa nso nnipa
Akyiri hɔ ayɛ fitaa
Akyɛnsedan bi egugu fam
Akɔ yɛ sɛ wɔre
Akɔdaa bi ɛhuru wɔ
Akɔdaa ketewa so sii
Akɔdaa no nso ani
Akɔdaa nso ɛhyɛ ataareɛ
Akɔkora baako te wɔn
Akɔkora bi de ne
Akɔla baako nso wɔ
Akɔla baako ɛne ne
Akɔla bi nso si
Akɔlaa baako agyina akyi
Akɔlaa baako nso adi
Akɔlaa baako wɔ anim
Akɔlaa bi nso gyina
Akɔlaa no baako ɛwɔ
Akɔyɛ sɛ obia ataareɛ
Akɔyɛ te sɛ nsuo
Akɛseɛ pa ara mmienu
Aloplane esi wɔn ntam
Aluplen no mpoma no
Alɔyafoɔ so ɛte hɔ
Am aberanteɛ no nso
Amaamefo bebree atsenatsena ase
Amaamefoɔ mmienu bi reyɛ
Amaamefoɔ mmienu bi wɔ
Amaamefoɔ no tena hɔ
Amaamefoɔ nyinaa hyɛ ataade
Amamfo bebree nam ne
Amamfo bebree wɔ akyeneɛ
Amamfo bi nso gyinagyina
Amamfo de wɔn nneɛma
Amamfo nso tete hɔ
Amamfo wɔ mfonin ne
Amamfoɔ bebree tete fam
Amamfoɔ bebree tete mpɔnkɔ
Amamfoɔ bebree wɔ abɔnten
Amamfoɔ bebree wɔ fie
Amamfoɔ bebree wɔ ha
Amamfoɔ gyinagyina wɔn akyi
Amamfoɔ nenam wɔn akyi
Amamfoɔ regye wɔn ani
Amamfoɔ yi bi hyɛ
Amamfoɔ yi nyinaa yɛ
Amammerɛ bi rekɔ so
Aman ahodoɔ bebree na
Aman frankaa no bi
Aman mu mpanimfoɔ ahyia
Aman no bi ne
Aman no bi te
Amanfo bi de sofi
Amanfo bi nso gyingyina
Amanfo wɔ dwa so
Amanfoɔ agyina gyina wɔn
Amanfoɔ ani kyerɛ baabi
Amanfoɔ atwa ho ahyia
Amanfoɔ atwa wɔn ho
Amanfoɔ atwa wɔn no
Amanfoɔ bebree abɔ ho
Amanfoɔ bebree edi wɔn
Amanfoɔ bebree na atwa
Amanfoɔ bebree nam kwan
Amanfoɔ bebree te hɔ
Amanfoɔ bebree tete akondwa
Amanfoɔ bebree wɔ akyire
Amanfoɔ bebree wɔ dan
Amanfoɔ bebree wɔ hɔ
Amanfoɔ bebree ɛwɔ wiemhyɛn
Amanfoɔ bi gyina hɔ
Amanfoɔ bi nso nam
Amanfoɔ bi tete hɔ
Amanfoɔ bi wɔ nhwiren
Amanfoɔ bi ɛwɔ ɛdan
Amanfoɔ foforɔ nso gyina
Amanfoɔ ne bi ɛhyɛ
Amanfoɔ ne bi ɛtete
Amanfoɔ nnum bi wɔ
Amanfoɔ no atwa ahyia
Amanfoɔ no bi hyɛ
